Family,Category,Stroke,Classifications,Keywords,Styles,Variable Axes,Subsets,Designers,Popularity Rank,Trending Rank,Is Noto,Date Added,Last Modified,Google Fonts URL
Anek Tamil,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european tamil indian,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,latin | latin-ext | tamil,Ek Type,1200,1674,No,2022-02-08,2025-09-16,https://fonts.google.com/specimen/Anek+Tamil
Anek Telugu,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european telugu indian popular widely-used,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,latin | latin-ext | telugu,Ek Type,124,1819,No,2022-02-15,2025-09-08,https://fonts.google.com/specimen/Anek+Telugu
Angkor,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention khmer cambodian english western european,400,,khmer | latin,Danh Hong,108,49,No,2011-03-02,2025-09-08,https://fonts.google.com/specimen/Angkor
Annapurna SIL,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone hindi devanagari indian english western european extended-latin european,400 | 700,,devanagari | latin | latin-ext | math | symbols,SIL International,608,848,No,2024-02-14,2025-05-30,https://fonts.google.com/specimen/Annapurna+SIL
Annie Use Your Telescope,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european,400,,latin | latin-ext,Kimberly Geswein,186,399,No,2011-04-14,2025-09-10,https://fonts.google.com/specimen/Annie+Use+Your+Telescope
Anonymous Pro,Monospace,,Monospace,code developer technical fixed-width terminal programming  mono fixed-width tabular data code italic russian cyrillic slavic greek english western european extended-latin european,400 | 400i | 700 | 700i,,cyrillic | greek | latin | latin-ext,Mark Simonson,112,357,No,2010-12-15,2025-09-08,https://fonts.google.com/specimen/Anonymous+Pro
Anta,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european,400,,latin | latin-ext | math | symbols,Sergej Lebedev,372,190,No,2024-02-14,2025-05-30,https://fonts.google.com/specimen/Anta
Antic,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european,400,,latin,Santiago Orozco,526,1336,No,2011-08-31,2025-09-04,https://fonts.google.com/specimen/Antic
Antic Didone,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european,400,,latin,Santiago Orozco,657,529,No,2012-03-14,2025-09-04,https://fonts.google.com/specimen/Antic+Didone
Antic Slab,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european well-known common,400,,latin,Santiago Orozco,65,360,No,2012-03-14,2025-09-10,https://fonts.google.com/specimen/Antic+Slab
Anton,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european vietnamese popular widely-used,400,,latin | latin-ext | vietnamese,Vernon Adams,83,943,No,2011-02-23,2025-09-16,https://fonts.google.com/specimen/Anton
Anton SC,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Vernon Adams,465,1224,No,2024-06-25,2025-05-30,https://fonts.google.com/specimen/Anton+SC
Antonio,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700,wght: 100..700,latin | latin-ext,Vernon Adams,170,355,No,2013-03-05,2025-09-04,https://fonts.google.com/specimen/Antonio
Anuphan,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight english western european extended-latin european thai southeast-asia vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700,wght: 100..700,latin | latin-ext | thai | vietnamese,Cadson Demak,594,973,No,2023-02-22,2025-09-10,https://fonts.google.com/specimen/Anuphan
Anybody,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible italic variable variable-font responsive variable-weight variable-width english western european extended-latin european vietnamese,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wdth: 50..150 | wght: 100..900,latin | latin-ext | vietnamese,Tyler Finck,846,2056,No,2022-03-02,2025-09-16,https://fonts.google.com/specimen/Anybody
Aoboshi One,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone japanese kanji hiragana katakana english western european extended-latin european,400,,japanese | latin | latin-ext,Natsumi Matsuba,607,1034,No,2023-05-23,2025-09-11,https://fonts.google.com/specimen/Aoboshi+One
AR One Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque variable variable-font responsive variable-weight english western european extended-latin european vietnamese,400 | 500 | 600 | 700,ARRR: 10..60 | wght: 400..700,latin | latin-ext | vietnamese,Niteesh Yadav,389,1054,No,2023-09-05,2025-09-16,https://fonts.google.com/specimen/AR+One+Sans
Arapey,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic english western european,400 | 400i,,latin,Eduardo Tunni,467,1782,No,2011-11-02,2025-09-02,https://fonts.google.com/specimen/Arapey
Arbutus,Serif,Slab Serif,Display,elegant traditional classic refined literary editorial slab mechanical sturdy strong headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Karolina Lach,1544,1657,No,2011-12-07,2025-09-11,https://fonts.google.com/specimen/Arbutus
Arbutus Slab,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european extended-latin european,400,,latin | latin-ext,Karolina Lach,205,284,No,2012-09-18,2025-09-11,https://fonts.google.com/specimen/Arbutus+Slab
Architects Daughter,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european,400,,latin | latin-ext,Kimberly Geswein,206,899,No,2011-03-09,2025-09-16,https://fonts.google.com/specimen/Architects+Daughter
Archivo,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight variable-width english western european extended-latin european vietnamese top-popular trending most-used,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wdth: 62..125 | wght: 100..900,latin | latin-ext | vietnamese,Omnibus-Type,58,995,No,2016-12-03,2025-09-08,https://fonts.google.com/specimen/Archivo
Archivo Black,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european top-popular trending most-used,400,,latin | latin-ext,Omnibus-Type,19,996,No,2012-09-18,2025-09-11,https://fonts.google.com/specimen/Archivo+Black
Archivo Narrow,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic variable variable-font responsive variable-weight english western european extended-latin european vietnamese well-known common,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i,wght: 400..700,latin | latin-ext | vietnamese,Omnibus-Type,63,229,No,2012-09-18,2025-09-11,https://fonts.google.com/specimen/Archivo+Narrow
Are You Serious,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  headline hero decorative large-text attention script cursive hand-drawn artistic informal english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,1690,280,No,2021-08-27,2025-09-16,https://fonts.google.com/specimen/Are+You+Serious
Aref Ruqaa,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone arabic RTL middle-east english western european extended-latin european,400 | 700,,arabic | latin | latin-ext,Abdullah Aref | Khaled Hosny | Hermann Zapf,804,181,No,2016-06-20,2025-09-11,https://fonts.google.com/specimen/Aref+Ruqaa
Aref Ruqaa Ink,Serif,Serif,Display,elegant traditional classic refined literary editorial transitional oldstyle didone headline hero decorative large-text attention arabic RTL middle-east english western european extended-latin european,400 | 700,,arabic | latin | latin-ext,Abdullah Aref | Khaled Hosny | Hermann Zapf,1609,2333,No,2022-02-26,2025-05-30,https://fonts.google.com/specimen/Aref+Ruqaa+Ink
Arima,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight greek greek extended english western european extended-latin european malayalam indian tamil indian vietnamese multilingual international,100 | 200 | 300 | 400 | 500 | 600 | 700,wght: 100..700,greek | greek-ext | latin | latin-ext | malayalam | tamil | vietnamese,Natanael Gama | Joana Correia | Rosalie Wagner,907,476,No,2022-05-24,2025-09-10,https://fonts.google.com/specimen/Arima
Arimo,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic variable variable-font responsive variable-weight russian cyrillic slavic cyrillic extended greek greek extended hebrew RTL israeli english western european extended-latin european vietnamese multilingual international top-popular trending most-used,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i,wght: 400..700,cyrillic | cyrillic-ext | greek | greek-ext | hebrew | latin | latin-ext | vietnamese,Steve Matteson,5,291,No,2026-05-12,2026-05-18,https://fonts.google.com/specimen/Arimo
Arizonia,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  headline hero decorative large-text attention script cursive hand-drawn artistic informal english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,194,296,No,2011-12-19,2025-09-11,https://fonts.google.com/specimen/Arizonia
Armata,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european,400,,latin | latin-ext,Viktoriya Grabowska,660,1119,No,2011-12-19,2025-09-11,https://fonts.google.com/specimen/Armata
Arsenal,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,400 | 400i | 700 | 700i,,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Andrij Shevchenko,142,263,No,2016-12-06,2025-09-16,https://fonts.google.com/specimen/Arsenal
Arsenal SC,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,400 | 400i | 700 | 700i,,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Andrij Shevchenko,432,407,No,2024-06-25,2025-05-30,https://fonts.google.com/specimen/Arsenal+SC
Artifika,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european,400,,latin,Cyreal,621,1235,No,2011-06-01,2025-09-16,https://fonts.google.com/specimen/Artifika
Arvo,Serif,Slab Serif,,elegant traditional classic refined literary editorial slab mechanical sturdy strong italic english western european popular widely-used,400 | 400i | 700 | 700i,,latin,Anton Koovit,86,583,No,2010-11-17,2025-06-02,https://fonts.google.com/specimen/Arvo
Arya,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque hindi devanagari indian english western european extended-latin european,400 | 700,,devanagari | latin | latin-ext,Eduardo Tunni,269,55,No,2015-05-20,2025-09-02,https://fonts.google.com/specimen/Arya
Asap,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight variable-width english western european extended-latin european vietnamese well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wdth: 75..125 | wght: 100..900,latin | latin-ext | vietnamese,Omnibus-Type,160,1098,No,2012-01-25,2025-09-04,https://fonts.google.com/specimen/Asap
Asap Condensed,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic english western european extended-latin european vietnamese,200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,,latin | latin-ext | vietnamese,Omnibus-Type,215,1315,No,2017-07-31,2025-09-02,https://fonts.google.com/specimen/Asap+Condensed
Asar,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone hindi devanagari indian english western european extended-latin european,400,,devanagari | latin | latin-ext,Sorkin Type,239,516,No,2015-06-17,2025-09-04,https://fonts.google.com/specimen/Asar
Asimovian,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Carolina Short,1013,406,No,2025-08-25,2025-08-26,https://fonts.google.com/specimen/Asimovian
Asset,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention cyrillic extended english western european extended-latin european,400,,cyrillic-ext | latin | latin-ext | math | symbols,Riccardo De Franceschi | Eben Sorkin,296,329,No,2011-06-29,2025-09-08,https://fonts.google.com/specimen/Asset
Assistant,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight hebrew RTL israeli english western european extended-latin european popular widely-used,200 | 300 | 400 | 500 | 600 | 700 | 800,wght: 200..800,hebrew | latin | latin-ext,Adobe Systems Inc. | Ben Nathan,92,1006,No,2016-03-31,2025-09-08,https://fonts.google.com/specimen/Assistant
Asta Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight korean hangul english western european,300 | 400 | 500 | 600 | 700 | 800,wght: 300..800,korean | latin,42dot,400,792,No,2025-05-28,2025-09-08,https://fonts.google.com/specimen/Asta+Sans
Astloch,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european,400 | 700,,latin,Dan Rhatigan,700,718,No,2011-02-16,2025-09-16,https://fonts.google.com/specimen/Astloch
Asul,Serif,Serif,Display,elegant traditional classic refined literary editorial transitional oldstyle didone headline hero decorative large-text attention english western european,400 | 700,,latin,Mariela Monsalve,244,563,No,2011-12-19,2025-06-25,https://fonts.google.com/specimen/Asul
Athiti,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible english western european extended-latin european thai southeast-asia vietnamese,200 | 300 | 400 | 500 | 600 | 700,,latin | latin-ext | thai | vietnamese,Cadson Demak,333,678,No,2016-06-15,2025-09-04,https://fonts.google.com/specimen/Athiti
Atkinson Hyperlegible,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic english western european extended-latin european well-known common,400 | 400i | 700 | 700i,,latin | latin-ext,Braille Institute | Applied Design Works | Elliott Scott | Megan Eiswerth | Linus Boman | Theodore Petrosky,124,495,No,2021-04-30,2025-09-04,https://fonts.google.com/specimen/Atkinson+Hyperlegible
Atkinson Hyperlegible Mono,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european,200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i,wght: 200..800,latin | latin-ext,Braille Institute | Applied Design Works | Elliott Scott | Megan Eiswerth | Letters From Sweden,391,36,No,2024-11-19,2025-09-16,https://fonts.google.com/specimen/Atkinson+Hyperlegible+Mono
Atkinson Hyperlegible Next,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european,200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i,wght: 200..800,latin | latin-ext,Braille Institute | Applied Design Works | Elliott Scott | Megan Eiswerth | Letters From Sweden,271,210,No,2025-01-06,2025-09-04,https://fonts.google.com/specimen/Atkinson+Hyperlegible+Next
Atma,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention bengali bangladeshi indian english western european extended-latin european,300 | 400 | 500 | 600 | 700,,bengali | latin | latin-ext,Black Foundry,1055,1834,No,2016-06-15,2025-09-16,https://fonts.google.com/specimen/Atma
Atomic Age,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,James Grieshaber,653,1067,No,2011-10-26,2025-09-10,https://fonts.google.com/specimen/Atomic+Age
Aubrey,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european,400,,latin,Cyreal,1739,638,No,2011-07-27,2025-09-11,https://fonts.google.com/specimen/Aubrey
Audiowide,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Astigmatic,186,107,No,2012-04-04,2025-09-16,https://fonts.google.com/specimen/Audiowide
Autour One,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Sorkin Type,826,154,No,2012-05-15,2025-09-11,https://fonts.google.com/specimen/Autour+One
Average,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european extended-latin european,400,,latin | latin-ext,Eduardo Tunni,219,110,No,2012-03-14,2025-09-04,https://fonts.google.com/specimen/Average
Average Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european,400,,latin | latin-ext,Eduardo Tunni,200,195,No,2012-10-26,2025-09-10,https://fonts.google.com/specimen/Average+Sans
Averia Gruesa Libre,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Dan Sayers,858,1298,No,2012-03-14,2025-05-30,https://fonts.google.com/specimen/Averia+Gruesa+Libre
Averia Libre,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention italic english western european,300 | 300i | 400 | 400i | 700 | 700i,,latin,Dan Sayers,380,953,No,2012-03-14,2025-05-30,https://fonts.google.com/specimen/Averia+Libre
Averia Sans Libre,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention italic english western european,300 | 300i | 400 | 400i | 700 | 700i,,latin,Dan Sayers,565,924,No,2012-03-14,2025-06-02,https://fonts.google.com/specimen/Averia+Sans+Libre
Averia Serif Libre,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention italic english western european,300 | 300i | 400 | 400i | 700 | 700i,,latin,Dan Sayers,409,914,No,2012-03-14,2025-06-02,https://fonts.google.com/specimen/Averia+Serif+Libre
Azeret Mono,Monospace,,Monospace,code developer technical fixed-width terminal programming  mono fixed-width tabular data code versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 100..900,latin | latin-ext,Displaay | Martin Vácha,390,293,No,2021-06-08,2025-09-04,https://fonts.google.com/specimen/Azeret+Mono
B612,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic english western european,400 | 400i | 700 | 700i,,latin,PolarSys | Nicolas Chauveau | Thomas Paillot | Jonathan Favre-Lamarine | Jean-Luc Vinot,238,316,No,2018-12-11,2025-09-16,https://fonts.google.com/specimen/B612
B612 Mono,Monospace,Sans Serif,Monospace,code developer technical fixed-width terminal programming geometric humanist grotesque mono fixed-width tabular data code italic english western european,400 | 400i | 700 | 700i,,latin,Nicolas Chauveau | Thomas Paillot | Jonathan Favre-Lamarine | Jean-Luc Vinot,951,574,No,2018-12-11,2025-09-16,https://fonts.google.com/specimen/B612+Mono
Babylonica,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal headline hero decorative large-text attention english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,1523,1096,No,2022-02-23,2025-09-08,https://fonts.google.com/specimen/Babylonica
Bacasime Antique,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european extended-latin european,400,,latin | latin-ext,The DocRepair Project | Claus Eggers Sørensen,1607,2142,No,2023-06-21,2025-05-30,https://fonts.google.com/specimen/Bacasime+Antique
Bad Script,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,400,,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Gaslight,457,1329,No,2011-12-13,2025-09-02,https://fonts.google.com/specimen/Bad+Script
Badeen Display,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention arabic RTL middle-east english western european extended-latin european,400,,arabic | latin | latin-ext,Hani Alasadi,334,525,No,2024-12-09,2025-05-30,https://fonts.google.com/specimen/Badeen+Display
Bagel Fat One,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention korean hangul english western european extended-latin european,400,,korean | latin | latin-ext,Kyungwon Kim | JAMO,572,93,No,2023-06-05,2025-05-30,https://fonts.google.com/specimen/Bagel+Fat+One
Bahiana,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Omnibus-Type,1631,1725,No,2016-12-02,2025-09-16,https://fonts.google.com/specimen/Bahiana
Bahianita,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Omnibus-Type,1021,338,No,2019-06-11,2025-09-10,https://fonts.google.com/specimen/Bahianita
Bai Jamjuree,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic english western european extended-latin european thai southeast-asia vietnamese,200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i,,latin | latin-ext | thai | vietnamese,Cadson Demak,114,135,No,2018-09-10,2025-09-08,https://fonts.google.com/specimen/Bai+Jamjuree
Bakbak One,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention hindi devanagari indian english western european extended-latin european,400,,devanagari | latin | latin-ext,Saumya Kishore | Sanchit Sawaria,600,708,No,2021-09-09,2025-09-11,https://fonts.google.com/specimen/Bakbak+One
Ballet,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  headline hero decorative large-text attention script cursive hand-drawn artistic informal variable variable-font responsive english western european extended-latin european vietnamese,400,opsz: 16..72,latin | latin-ext | vietnamese,Omnibus-Type | Maximiliano Sproviero,745,965,No,2020-09-23,2025-09-11,https://fonts.google.com/specimen/Ballet
Baloo 2,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention variable variable-font responsive variable-weight hindi devanagari indian english western european extended-latin european vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,devanagari | latin | latin-ext | vietnamese,Ek Type,75,83,No,2016-01-20,2025-09-16,https://fonts.google.com/specimen/Baloo+2
Baloo Bhai 2,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention variable variable-font responsive variable-weight gujarati indian english western european extended-latin european vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,gujarati | latin | latin-ext | vietnamese,Ek Type,304,82,No,2016-01-20,2025-09-10,https://fonts.google.com/specimen/Baloo+Bhai+2
Baloo Bhaijaan 2,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention variable variable-font responsive variable-weight arabic RTL middle-east english western european extended-latin european vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,arabic | latin | latin-ext | vietnamese,Ek Type,233,189,No,2021-10-29,2025-09-16,https://fonts.google.com/specimen/Baloo+Bhaijaan+2
Baloo Bhaina 2,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention variable variable-font responsive variable-weight english western european extended-latin european odia oriya indian vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,latin | latin-ext | oriya | vietnamese,Ek Type,341,300,No,2016-01-20,2025-09-02,https://fonts.google.com/specimen/Baloo+Bhaina+2
Baloo Chettan 2,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention variable variable-font responsive variable-weight english western european extended-latin european malayalam indian vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,latin | latin-ext | malayalam | vietnamese,Ek Type,237,483,No,2016-01-20,2025-09-16,https://fonts.google.com/specimen/Baloo+Chettan+2
Baloo Da 2,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention variable variable-font responsive variable-weight bengali bangladeshi indian english western european extended-latin european vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,bengali | latin | latin-ext | vietnamese,Ek Type,320,444,No,2016-01-20,2025-09-11,https://fonts.google.com/specimen/Baloo+Da+2
Baloo Paaji 2,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention variable variable-font responsive variable-weight punjabi gurmukhi indian english western european extended-latin european vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,gurmukhi | latin | latin-ext | vietnamese,Ek Type,1029,549,No,2016-01-20,2025-09-10,https://fonts.google.com/specimen/Baloo+Paaji+2
Baloo Tamma 2,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention variable variable-font responsive variable-weight kannada indian english western european extended-latin european vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,kannada | latin | latin-ext | vietnamese,Ek Type,512,1140,No,2016-01-20,2025-09-11,https://fonts.google.com/specimen/Baloo+Tamma+2
Baloo Tammudu 2,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention variable variable-font responsive variable-weight english western european extended-latin european telugu indian vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,latin | latin-ext | telugu | vietnamese,Ek Type,310,49,No,2016-01-20,2025-09-11,https://fonts.google.com/specimen/Baloo+Tammudu+2
Baloo Thambi 2,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention variable variable-font responsive variable-weight english western european extended-latin european tamil indian vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,latin | latin-ext | tamil | vietnamese,Ek Type,800,899,No,2016-01-20,2025-09-16,https://fonts.google.com/specimen/Baloo+Thambi+2
Balsamiq Sans,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention italic russian cyrillic slavic cyrillic extended english western european extended-latin european,400 | 400i | 700 | 700i,,cyrillic | cyrillic-ext | latin | latin-ext,Michael Angeles,617,464,No,2020-04-09,2025-09-08,https://fonts.google.com/specimen/Balsamiq+Sans
Balthazar,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european,400,,latin,Dario Manuel Muhafara,1043,1111,No,2011-12-13,2025-09-16,https://fonts.google.com/specimen/Balthazar
Bangers,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european vietnamese well-known common,400,,latin | latin-ext | vietnamese,Vernon Adams,152,601,No,2011-02-09,2025-09-08,https://fonts.google.com/specimen/Bangers
